replication,converged,em_iter,time_sec,parameter,true,estimate,bias,sq_error
8,0,40,2585.047696250025,beta_sc_21_k1,0.5,0.37904889191867225,-0.12095110808132775,0.014629170546101028
8,0,40,2585.047696250025,beta_sc_21_k2,0.15,0.23005251887034273,0.08005251887034273,0.006408405777486579
8,0,40,2585.047696250025,beta_dep_1_k1,0.25,0.26985042978319695,0.019850429783196955,0.0003940395625776327
8,0,40,2585.047696250025,beta_dep_1_k2,0.4,0.3886881209542172,-0.011311879045782847,0.00012795860754642103
8,0,40,2585.047696250025,beta_dep_2_k1,0.25,0.17823293284542094,-0.07176706715457906,0.005150511927969861
8,0,40,2585.047696250025,beta_dep_2_k2,0.4,0.4366395823598812,0.036639582359881184,0.0013424589955065163
9,0,40,2572.0313948330004,pi,0.4,0.34451675923980624,-0.055483240760193786,0.003078390005253629
9,0,40,2572.0313948330004,alpha_2_k1,0.3,0.21276599841547256,-0.08723400158452743,0.0076097710324493344
9,0,40,2572.0313948330004,alpha_2_k2,0.1,0.1463585752201261,0.0463585752201261,0.0021491174964400894
9,0,40,2572.0313948330004,gamma_k1,0.5,0.4933198636501316,-0.006680136349868415,4.462422165283331e-05
9,0,40,2572.0313948330004,gamma_k2,0.8,0.8328615804738408,0.0328615804738408,0.001079883471238715
9,0,40,2572.0313948330004,beta_sc_12_k1,0.55,0.362256542165882,-0.18774345783411805,0.03524760595951126
9,0,40,2572.0313948330004,beta_sc_12_k2,0.2,0.38115216687400666,0.18115216687400665,0.03281610756314795
9,0,40,2572.0313948330004,beta_sc_21_k1,0.5,0.41522032526625996,-0.08477967473374004,0.007187593247958759
9,0,40,2572.0313948330004,beta_sc_21_k2,0.15,0.05539441272528736,-0.09460558727471263,0.008950217143593269
9,0,40,2572.0313948330004,beta_dep_1_k1,0.25,0.2388750254656291,-0.01112497453437089,0.00012376505839040082
9,0,40,2572.0313948330004,beta_dep_1_k2,0.4,0.41803692082393507,0.018036920823935043,0.0003253305128089016
9,0,40,2572.0313948330004,beta_dep_2_k1,0.25,0.17998848768231704,-0.07001151231768296,0.004901611857009073
9,0,40,2572.0313948330004,beta_dep_2_k2,0.4,0.45442120602566854,0.05442120602566852,0.00296166766528826
10,0,40,2527.4426064590225,pi,0.4,0.4732656298785799,0.07326562987857987,0.005367852521505056
10,0,40,2527.4426064590225,alpha_2_k1,0.3,0.337052251032069,0.037052251032068995,0.0013728693065434578
10,0,40,2527.4426064590225,alpha_2_k2,0.1,0.05316065766910011,-0.0468393423308999,0.002193923989991231
10,0,40,2527.4426064590225,gamma_k1,0.5,0.5085998840556666,0.008599884055666585,7.395800577090834e-05
10,0,40,2527.4426064590225,gamma_k2,0.8,0.8676386822949483,0.0676386822949483,0.004574991342596952
10,0,40,2527.4426064590225,beta_sc_12_k1,0.55,0.5646797435038542,0.014679743503854148,0.00021549486933894804
10,0,40,2527.4426064590225,beta_sc_12_k2,0.2,0.07263354983571331,-0.12736645016428672,0.016222212627451733
10,0,40,2527.4426064590225,beta_sc_21_k1,0.5,0.6444027676335642,0.1444027676335642,0.020852159300233132
10,0,40,2527.4426064590225,beta_sc_21_k2,0.15,0.08332778217458703,-0.06667221782541297,0.004445184629759315
10,0,40,2527.4426064590225,beta_dep_1_k1,0.25,0.2539300357947289,0.003930035794728892,1.5445181347850357e-05
10,0,40,2527.4426064590225,beta_dep_1_k2,0.4,0.4213414034380357,0.0213414034380357,0.000455455500705002
10,0,40,2527.4426064590225,beta_dep_2_k1,0.25,0.2818280745315506,0.03182807453155062,0.0010130263283859413
10,0,40,2527.4426064590225,beta_dep_2_k2,0.4,0.4211977735129082,0.02119777351290819,0.00044934560190455205
